Epoch | Train Loss | Train Acc | Val Loss | Val Acc
-------------------------------------------------------
    1 |     4.2307 |    0.0061 |   5.2756 |  0.0041
    2 |     4.2104 |    0.0082 |   5.2613 |  0.0131
    3 |     4.1570 |    0.0139 |   5.2495 |  0.0131
    4 |     4.1515 |    0.0131 |   5.2295 |  0.0115
    5 |     4.1048 |    0.0214 |   5.2058 |  0.0221
    6 |     4.1398 |    0.0332 |   5.1830 |  0.0270
    7 |     4.1146 |    0.0298 |   5.1641 |  0.0238
    8 |     4.0768 |    0.0435 |   5.1459 |  0.0369
    9 |     4.0743 |    0.0462 |   5.1210 |  0.0360
   10 |     4.0323 |    0.0571 |   5.0906 |  0.0401
   11 |     3.9931 |    0.0754 |   5.0547 |  0.0672
   12 |     3.9410 |    0.0851 |   5.0176 |  0.0647
   13 |     3.9099 |    0.0896 |   4.9848 |  0.0753
   14 |     3.9070 |    0.0917 |   4.9480 |  0.0778
   15 |     3.9400 |    0.0987 |   4.9061 |  0.0786
   16 |     3.8623 |    0.1105 |   4.8500 |  0.0885
   17 |     3.8573 |    0.1070 |   4.8286 |  0.0942
   18 |     3.8084 |    0.1262 |   4.7793 |  0.0991
   19 |     3.7504 |    0.1330 |   4.7436 |  0.0999
   20 |     3.8032 |    0.1410 |   4.7045 |  0.0942
   21 |     3.7588 |    0.1417 |   4.6674 |  0.1122
   22 |     3.7042 |    0.1556 |   4.6247 |  0.1163
   23 |     3.6794 |    0.1576 |   4.5979 |  0.1204
   24 |     3.6804 |    0.1733 |   4.5584 |  0.1278
   25 |     3.6574 |    0.1761 |   4.5300 |  0.1384
   26 |     3.7134 |    0.1703 |   4.5130 |  0.1376
   27 |     3.6480 |    0.1716 |   4.4922 |  0.1417
   28 |     3.6904 |    0.1860 |   4.4673 |  0.1409
   29 |     3.5956 |    0.1886 |   4.4414 |  0.1507
   30 |     3.5968 |    0.1904 |   4.4318 |  0.1482
   31 |     3.5945 |    0.1967 |   4.3993 |  0.1540
   32 |     3.5430 |    0.1938 |   4.3908 |  0.1507
   33 |     3.5599 |    0.2067 |   4.3617 |  0.1482
   34 |     3.5429 |    0.1969 |   4.3397 |  0.1523
   35 |     3.5185 |    0.2053 |   4.3224 |  0.1589
   36 |     3.4885 |    0.2131 |   4.3076 |  0.1654
   37 |     3.4939 |    0.2080 |   4.3070 |  0.1613
   38 |     3.5168 |    0.2145 |   4.2928 |  0.1728
   39 |     3.4398 |    0.2171 |   4.2680 |  0.1728
   40 |     3.5172 |    0.2158 |   4.2917 |  0.1654
   41 |     3.5010 |    0.2196 |   4.2772 |  0.1654
   42 |     3.4848 |    0.2233 |   4.2741 |  0.1736
   43 |     3.4239 |    0.2230 |   4.2632 |  0.1704
   44 |     3.5035 |    0.2158 |   4.2649 |  0.1720
   45 |     3.4079 |    0.2196 |   4.2719 |  0.1687
   46 |     3.4674 |    0.2211 |   4.2446 |  0.1663
   47 |     3.4955 |    0.2255 |   4.2549 |  0.1687
   48 |     3.4599 |    0.2266 |   4.2412 |  0.1736
   49 |     3.5130 |    0.2180 |   4.2396 |  0.1777
   50 |     3.4324 |    0.2206 |   4.2465 |  0.1736
