Epoch | Train Loss | Train Acc | Val Loss | Val Acc
-------------------------------------------------------
    1 |     5.2788 |    0.0055 |   5.2812 |  0.0033
    2 |     5.2682 |    0.0075 |   5.2650 |  0.0115
    3 |     5.2456 |    0.0113 |   5.2326 |  0.0106
    4 |     5.1941 |    0.0205 |   5.1840 |  0.0213
    5 |     5.1341 |    0.0412 |   5.1106 |  0.0418
    6 |     5.0614 |    0.0653 |   5.0119 |  0.0541
    7 |     4.9640 |    0.0917 |   4.8855 |  0.0713
    8 |     4.8532 |    0.1040 |   4.7355 |  0.0803
    9 |     4.7336 |    0.1281 |   4.5874 |  0.1155
   10 |     4.6088 |    0.1496 |   4.4534 |  0.1343
   11 |     4.4891 |    0.1746 |   4.3203 |  0.1654
   12 |     4.3809 |    0.1891 |   4.1816 |  0.1867
   13 |     4.2901 |    0.1993 |   4.0885 |  0.1843
   14 |     4.1977 |    0.2200 |   4.0029 |  0.2097
   15 |     4.1087 |    0.2320 |   3.8847 |  0.2310
   16 |     4.0245 |    0.2448 |   3.7952 |  0.2547
   17 |     3.9524 |    0.2548 |   3.7030 |  0.2727
   18 |     3.8733 |    0.2734 |   3.6463 |  0.2867
   19 |     3.8004 |    0.2934 |   3.5726 |  0.2989
   20 |     3.7271 |    0.3012 |   3.4950 |  0.3235
   21 |     3.6753 |    0.3162 |   3.4506 |  0.3170
   22 |     3.6195 |    0.3303 |   3.3814 |  0.3260
   23 |     3.5705 |    0.3425 |   3.3348 |  0.3456
   24 |     3.5129 |    0.3559 |   3.2812 |  0.3554
   25 |     3.4655 |    0.3627 |   3.2396 |  0.3661
   26 |     3.4166 |    0.3731 |   3.1812 |  0.3726
   27 |     3.3625 |    0.3861 |   3.1405 |  0.3808
   28 |     3.3363 |    0.3887 |   3.1145 |  0.3808
   29 |     3.2881 |    0.4047 |   3.0626 |  0.3964
   30 |     3.2484 |    0.4115 |   3.0350 |  0.4120
   31 |     3.2149 |    0.4180 |   2.9903 |  0.4169
   32 |     3.1692 |    0.4349 |   2.9535 |  0.4308
   33 |     3.1624 |    0.4471 |   2.9354 |  0.4414
   34 |     3.1099 |    0.4460 |   2.9123 |  0.4480
   35 |     3.1006 |    0.4551 |   2.8799 |  0.4586
   36 |     3.0696 |    0.4654 |   2.8452 |  0.4529
   37 |     3.0548 |    0.4601 |   2.8269 |  0.4668
   38 |     3.0088 |    0.4846 |   2.8057 |  0.4652
   39 |     3.0070 |    0.4705 |   2.7915 |  0.4799
   40 |     2.9806 |    0.4863 |   2.7607 |  0.4799
   41 |     2.9811 |    0.4869 |   2.7520 |  0.4881
   42 |     2.9401 |    0.4939 |   2.7299 |  0.4971
   43 |     2.9314 |    0.4915 |   2.7252 |  0.4873
   44 |     2.9073 |    0.5035 |   2.7095 |  0.4988
   45 |     2.8903 |    0.5128 |   2.6799 |  0.5086
   46 |     2.8701 |    0.5141 |   2.6782 |  0.5152
   47 |     2.8792 |    0.5072 |   2.6585 |  0.5250
   48 |     2.8659 |    0.5144 |   2.6526 |  0.5184
   49 |     2.8446 |    0.5154 |   2.6510 |  0.5209
   50 |     2.8260 |    0.5206 |   2.6314 |  0.5283
   51 |     2.8148 |    0.5358 |   2.6306 |  0.5258
   52 |     2.8309 |    0.5256 |   2.6234 |  0.5217
   53 |     2.8099 |    0.5319 |   2.6308 |  0.5078
   54 |     2.8039 |    0.5233 |   2.6141 |  0.5233
   55 |     2.7922 |    0.5346 |   2.6018 |  0.5299
   56 |     2.7829 |    0.5398 |   2.5991 |  0.5373
   57 |     2.8076 |    0.5306 |   2.5994 |  0.5315
   58 |     2.7774 |    0.5407 |   2.5843 |  0.5348
   59 |     2.7682 |    0.5398 |   2.5933 |  0.5315
   60 |     2.7836 |    0.5352 |   2.5872 |  0.5348
   61 |     2.7660 |    0.5425 |   2.5876 |  0.5397
   62 |     2.7652 |    0.5411 |   2.5774 |  0.5364
   63 |     2.7816 |    0.5268 |   2.5783 |  0.5381
   64 |     2.7684 |    0.5349 |   2.5786 |  0.5340
   65 |     2.7568 |    0.5440 |   2.5793 |  0.5373
   66 |     2.7678 |    0.5428 |   2.5829 |  0.5332
   67 |     2.7556 |    0.5402 |   2.5651 |  0.5438
   68 |     2.7541 |    0.5459 |   2.5729 |  0.5438
   69 |     2.7422 |    0.5489 |   2.5907 |  0.5381
   70 |     2.7594 |    0.5399 |   2.5753 |  0.5455
