Epoch | Train Loss | Train Acc | Val Loss | Val Acc
-------------------------------------------------------
    1 |     5.2796 |    0.0048 |   5.2764 |  0.0025
    2 |     5.2673 |    0.0075 |   5.2626 |  0.0115
    3 |     5.2441 |    0.0137 |   5.2249 |  0.0106
    4 |     5.1890 |    0.0207 |   5.1724 |  0.0254
    5 |     5.1318 |    0.0345 |   5.0969 |  0.0467
    6 |     5.0518 |    0.0638 |   4.9962 |  0.0672
    7 |     4.9585 |    0.0919 |   4.8549 |  0.0794
    8 |     4.8408 |    0.1141 |   4.7025 |  0.0909
    9 |     4.7207 |    0.1275 |   4.5630 |  0.1237
   10 |     4.5998 |    0.1541 |   4.4136 |  0.1433
   11 |     4.4825 |    0.1709 |   4.2910 |  0.1622
   12 |     4.3766 |    0.1813 |   4.1721 |  0.1843
   13 |     4.2639 |    0.1979 |   4.0581 |  0.1925
   14 |     4.1823 |    0.2129 |   3.9621 |  0.2138
   15 |     4.0876 |    0.2318 |   3.8622 |  0.2293
   16 |     4.0055 |    0.2464 |   3.7821 |  0.2482
   17 |     3.9195 |    0.2632 |   3.6887 |  0.2670
   18 |     3.8516 |    0.2766 |   3.6013 |  0.2826
   19 |     3.7760 |    0.2911 |   3.5276 |  0.2940
   20 |     3.6984 |    0.3114 |   3.4434 |  0.3170
   21 |     3.6293 |    0.3289 |   3.3813 |  0.3366
   22 |     3.5608 |    0.3432 |   3.3138 |  0.3505
   23 |     3.5047 |    0.3565 |   3.2582 |  0.3546
   24 |     3.4438 |    0.3688 |   3.2280 |  0.3563
   25 |     3.3998 |    0.3779 |   3.1445 |  0.3841
   26 |     3.3313 |    0.3909 |   3.0971 |  0.3833
   27 |     3.2826 |    0.4121 |   3.0554 |  0.3972
   28 |     3.2296 |    0.4203 |   2.9882 |  0.4087
   29 |     3.1965 |    0.4224 |   2.9490 |  0.4275
   30 |     3.1350 |    0.4479 |   2.9008 |  0.4406
   31 |     3.0842 |    0.4547 |   2.8659 |  0.4513
   32 |     3.0539 |    0.4608 |   2.8078 |  0.4660
   33 |     3.0186 |    0.4710 |   2.7767 |  0.4865
   34 |     2.9602 |    0.4888 |   2.7333 |  0.4889
   35 |     2.9461 |    0.4855 |   2.6899 |  0.5061
   36 |     2.8891 |    0.5007 |   2.6584 |  0.5037
   37 |     2.8676 |    0.5090 |   2.6261 |  0.5201
   38 |     2.8336 |    0.5216 |   2.5918 |  0.5315
   39 |     2.8004 |    0.5265 |   2.5562 |  0.5405
   40 |     2.7592 |    0.5327 |   2.5476 |  0.5364
   41 |     2.7296 |    0.5399 |   2.4980 |  0.5594
   42 |     2.7121 |    0.5404 |   2.4902 |  0.5569
   43 |     2.6708 |    0.5654 |   2.4487 |  0.5766
   44 |     2.6448 |    0.5633 |   2.4293 |  0.5708
   45 |     2.6134 |    0.5713 |   2.3861 |  0.5954
   46 |     2.6025 |    0.5802 |   2.3797 |  0.5995
   47 |     2.5603 |    0.5854 |   2.3585 |  0.6036
   48 |     2.5568 |    0.5943 |   2.3370 |  0.6069
   49 |     2.5216 |    0.5973 |   2.3144 |  0.6110
   50 |     2.4891 |    0.6088 |   2.2825 |  0.6208
   51 |     2.4778 |    0.6096 |   2.2693 |  0.6257
   52 |     2.4505 |    0.6283 |   2.2436 |  0.6396
   53 |     2.4232 |    0.6309 |   2.2579 |  0.6200
   54 |     2.3982 |    0.6324 |   2.2171 |  0.6437
